QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.75	0	1	0
1	0.75	0	1	0
2	0.0	1	1	1
3	0.2	0	1	1
4	0.15789473684210525	0	0	0
5	0.42857142857142855	0	0	0
6	0.3888888888888889	0	0	0
7	0.08928571428571429	0	0	1
8	0.18518518518518517	0	0	0
9	0.18518518518518517	0	0	0
10	0.8636363636363636	0	0	0
11	1.0	0	1	0
12	0.08544303797468354	0	0	1
13	1.0	0	1	0
14	0.0	1	1	1
15	0.03139013452914798	0	0	1
16	0.5714285714285714	0	0	1
17	0.14213197969543148	0	0	0
18	0.07560975609756097	0	0	1
19	1.0	0	1	1
20	0.88	0	1	1
21	1.0	0	1	0
22	1.0	0	1	0
23	0.6666666666666666	0	1	1
24	0.0	0	1	1
25	0.17857142857142858	0	1	1
26	0.32558139534883723	0	0	1
27	0.23333333333333334	0	0	0
28	0.43478260869565216	0	1	0
29	0.0	0	0	1
30	0.4	0	1	1
31	0.0	0	1	1
32	1.0	0	1	0
33	0.21739130434782608	0	0	0
34	1.0	0	1	1
35	0.875	0	1	0
36	0.0	1	1	1
37	0.2222222222222222	0	0	1
38	1.0	0	1	1
39	0.0	1	1	1
40	0.21333333333333335	0	0	1
41	0.0	0	0	1
42	0.0	0	1	1
43	0.125	0	0	0
44	0.2777777777777778	0	0	0
45	0.25	0	0	1
46	0.8421052631578947	0	1	0
47	0.0	0	0	1
48	0.5	0	0	0
49	0.3333333333333333	0	0	0
50	0.0	0	1	1
51	0.0	0	0	1
52	0.06857142857142857	0	0	1
53	0.7777777777777778	0	1	0
54	0.3333333333333333	0	0	0
55	0.0	1	1	1
56	0.0989010989010989	0	0	1
57	0.0	0	1	1
58	0.0	0	1	1
59	1.0	0	1	0
60	0.0	0	0	1
61	0.3275862068965517	0	0	1
62	0.0	1	1	1
63	0.0	0	1	1
64	0.1085972850678733	0	1	1
65	0.25	0	0	0
66	0.3333333333333333	0	0	0
67	0.65625	0	1	1
68	0.0	0	1	1
69	0.0	1	1	1
70	0.6976744186046512	0	1	1
71	0.5714285714285714	0	0	1
72	1.0	0	1	0
73	0.3548387096774194	0	0	0
74	0.4523809523809524	0	0	0
75	1.0	0	1	0
76	0.46408839779005523	0	0	0
77	0.0657439446366782	0	1	1
78	0.7532467532467533	0	1	0
79	0.8461538461538461	0	1	1
80	0.9896907216494846	0	1	0
81	0.8333333333333334	0	1	0
82	0.8333333333333334	0	1	1
83	1.0	0	1	1
84	1.0	0	1	0
85	0.34545454545454546	0	1	1
86	0.3157894736842105	0	0	0
87	0.42857142857142855	0	0	0
88	0.8461538461538461	0	1	0
89	0.0	1	1	1
90	0.0	0	0	0
91	0.3125	0	1	0
92	0.05555555555555555	0	0	1
93	0.0	1	1	1
94	0.0	1	1	1
95	0.0	0	1	1
96	0.0	1	1	1
97	0.0	1	1	1
98	0.0	0	1	1
99	0.0	0	1	1
100	0.3783783783783784	0	0	0
101	0.0	0	1	1
102	0.38235294117647056	0	0	0
103	0.6666666666666666	0	1	0
104	0.6097560975609756	0	0	0
105	0.0	1	1	1
106	0.0	0	1	1
107	0.15450643776824036	0	0	0
108	0.033112582781456956	0	1	1
109	0.42857142857142855	0	1	1
110	0.0	0	1	1
111	0.0	1	1	1
112	0.0	1	1	1
113	0.0	0	1	1
114	0.3142857142857143	0	1	1
115	0.6666666666666666	0	1	1
116	0.0	0	1	1
117	0.38461538461538464	0	0	1
118	0.21428571428571427	0	0	1
119	0.10508474576271186	0	0	1
120	0.0	1	1	1
121	0.8333333333333334	0	1	1
122	0.0	1	1	1
123	0.3235294117647059	0	0	0
124	0.6	0	0	1
125	0.19230769230769232	0	0	1
126	0.16666666666666666	0	1	1
127	0.0	1	1	1
128	1.0	0	1	0
129	0.0	1	1	1
130	0.0	0	0	0
131	0.0	0	1	1
132	0.0	0	0	0
133	0.0	0	1	1
134	0.10619469026548672	0	0	1
135	0.29310344827586204	0	0	1
136	0.0	0	0	1
137	0.0	0	0	1
138	0.6	0	1	1
139	0.07058823529411765	0	0	1
140	0.0	1	1	1
141	0.4888888888888889	0	0	1
142	1.0	0	1	1
143	0.2	0	0	1
144	0.25	0	1	1
145	0.0	0	1	1
146	0.3076923076923077	0	0	0
147	0.8666666666666667	0	1	0
148	0.4444444444444444	0	0	1
149	0.7272727272727273	0	1	0
