dataset	source_id	question_id	question	gold_answer	confidence	agreeing_models	available_models	selected_from
LC-QuAD	2	Q1	What U.S. states does the Delaware River drain?	"[""New York"", ""New Jersey"", ""Pennsylvania"", ""Delaware""]"	3	GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-o3
LC-QuAD	2	Q2	Which U.S. states does the Delaware River Basin span?	"[""Delaware"", ""New Jersey"", ""New York"", ""Pennsylvania""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	2	Q3	In which U.S. state is the source of the Delaware River?	"[""New York""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	2	Q4	Which U.S. states that the Delaware River drains from do not contain its source?	"[""Pennsylvania"", ""New Jersey"", ""Delaware""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
LC-QuAD	7	Q1	In which U.S. states was the plot of North by Northwest set?	"[""New York"", ""Illinois"", ""Indiana"", ""South Dakota""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
LC-QuAD	7	Q2	Which U.S. states were settings for the story of North by Northwest?	"[""New York"", ""Illinois"", ""Indiana"", ""South Dakota""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	7	Q3	Which U.S. states were settings for the plot of North by Northwest and had filming on location?	"[""Illinois"", ""New York"", ""South Dakota""]"	3	GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
LC-QuAD	7	Q4	Which U.S. states were settings for the plot of North by Northwest but did not have filming on location?	"[""Indiana""]"	2	GPT-o3,Gemini-2.5-pro	4	GPT-o3
LC-QuAD	21	Q1	What Fortune 500 businesses are headquartered in Cleveland?	"[""The Sherwin-Williams Company"", ""Parker-Hannifin Corporation"", ""Cleveland-Cliffs Incorporated"", ""KeyCorp""]"	1	GPT-5	5	GPT-5
LC-QuAD	21	Q2	Which Fortune 500 companies have their headquarters located in Cleveland?	"[""The Sherwin-Williams Company"", ""Parker-Hannifin Corporation"", ""Cleveland-Cliffs Incorporated"", ""KeyCorp""]"	1	GPT-5	5	GPT-5
LC-QuAD	21	Q3	What Fortune 500 businesses ranked in the top 250 are headquartered in Cleveland?	"[""The Sherwin-Williams Company"", ""Parker-Hannifin Corporation"", ""Cleveland-Cliffs Incorporated""]"	1	GPT-5	4	GPT-5
LC-QuAD	21	Q4	What Fortune 500 businesses ranked in the bottom 250 are headquartered in Cleveland?	"[""KeyCorp""]"	2	GPT-o3,Gemini-2.5-pro	4	GPT-o3
LC-QuAD	27	Q1	What island states make up the European Union?	"[""Cyprus"", ""Ireland"", ""Malta""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
LC-QuAD	27	Q2	Which EU countries are islands?	"[""Ireland"", ""Malta"", ""Cyprus""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	27	Q3	Which EU island states have an area greater than one thousand square kilometres?	"[""Ireland"", ""Cyprus""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	27	Q4	Which EU island states have an area less than or equal to one thousand square kilometres?	"[""Malta""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	28	Q1	What books are the Harry Potter movies based on?	"[""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Chamber of Secrets"", ""Harry Potter and the Prisoner of Azkaban"", ""Harry Potter and the Goblet of Fire"", ""Harry Potter and the Order of the Phoenix"", ""Harry Potter and the Half-Blood Prince"", ""Harry Potter and the Deathly Hallows""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	28	Q2	Which books were made into Harry Potter films?	"[""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Chamber of Secrets"", ""Harry Potter and the Prisoner of Azkaban"", ""Harry Potter and the Goblet of Fire"", ""Harry Potter and the Order of the Phoenix"", ""Harry Potter and the Half-Blood Prince"", ""Harry Potter and the Deathly Hallows""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
LC-QuAD	28	Q3	What books were made into multiple Harry Potter movies?	"[""Harry Potter and the Deathly Hallows""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
