QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	1.0	0	1	0
2	1.0	0	1	0
3	0.8181818181818182	0	0	0
4	1.0	0	1	0
5	1.0	0	1	0
6	1.0	0	1	0
7	1.0	0	1	0
8	1.0	0	1	0
9	0.0	0	0	0
10	1.0	0	1	0
11	1.0	0	1	0
12	1.0	0	1	0
13	0.0	0	0	0
14	1.0	0	1	0
15	1.0	0	1	0
16	1.0	0	1	0
17	1.0	0	1	0
18	1.0	0	1	0
19	1.0	0	1	0
20	1.0	0	1	0
21	1.0	0	1	0
22	1.0	0	1	0
23	1.0	0	1	0
24	1.0	0	1	0
25	1.0	0	1	0
26	1.0	0	1	0
27	1.0	0	1	0
28	1.0	0	1	0
29	1.0	0	1	0
30	1.0	0	1	0
31	1.0	0	1	0
32	1.0	0	1	0
33	1.0	0	1	0
34	1.0	0	1	0
35	1.0	0	1	0
36	1.0	0	1	0
37	1.0	0	1	0
38	1.0	0	1	0
39	1.0	0	1	0
40	1.0	0	1	0
41	1.0	0	1	0
42	1.0	0	1	0
43	1.0	0	1	0
44	1.0	0	1	0
45	0.7931034482758621	0	0	0
46	1.0	0	1	0
47	1.0	0	1	0
48	1.0	0	1	0
49	0.9090909090909091	0	0	0
50	1.0	0	1	0
51	1.0	0	1	0
52	1.0	0	1	0
53	1.0	0	1	0
54	1.0	0	1	0
55	1.0	0	1	0
56	1.0	0	1	0
57	1.0	0	1	0
58	1.0	0	1	0
59	1.0	0	1	0
60	1.0	0	1	0
61	1.0	0	1	0
62	1.0	0	1	0
63	0.8666666666666667	0	0	0
64	0.625	0	0	0
65	1.0	0	1	0
66	1.0	0	1	0
67	1.0	0	1	0
68	1.0	0	1	0
69	1.0	0	1	0
70	1.0	0	1	0
71	1.0	0	1	0
72	0.42857142857142855	0	0	0
73	1.0	0	1	0
74	1.0	0	1	0
75	1.0	0	1	0
76	1.0	0	1	0
77	1.0	0	1	0
78	1.0	0	1	0
79	1.0	0	1	0
80	1.0	0	1	0
81	1.0	0	1	0
82	1.0	0	1	0
83	0.45	0	0	0
84	0.6	0	0	0
85	0.5263157894736842	0	0	0
86	1.0	0	1	0
87	1.0	0	1	0
88	1.0	0	1	0
89	1.0	0	1	0
90	1.0	0	1	0
91	1.0	0	1	0
92	1.0	0	1	0
93	0.8888888888888888	0	0	0
94	0.05555555555555555	0	0	0
95	1.0	0	1	0
96	1.0	0	1	0
97	1.0	0	1	0
98	1.0	0	1	0
99	1.0	0	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	1.0	0	1	0
103	1.0	0	1	0
104	1.0	0	1	0
105	1.0	0	1	0
106	1.0	0	1	0
107	1.0	0	1	0
108	0.8260869565217391	0	0	0
109	1.0	0	1	0
110	1.0	0	1	0
111	0.5882352941176471	0	0	0
112	1.0	0	1	0
113	1.0	0	1	0
114	0.0	1	1	0
115	1.0	0	1	0
116	1.0	0	1	0
117	0.7142857142857143	0	0	0
118	1.0	0	1	0
119	1.0	0	1	0
120	1.0	0	1	0
121	1.0	0	1	0
122	0.8181818181818182	0	0	0
123	1.0	0	1	0
124	1.0	0	1	0
125	0.0	1	1	0
126	1.0	0	1	0
127	1.0	0	1	0
128	1.0	0	1	0
129	1.0	0	1	0
130	0.12371134020618557	0	0	0
131	1.0	0	1	0
132	1.0	0	1	0
133	1.0	0	1	0
134	1.0	0	1	0
135	1.0	0	1	0
136	1.0	0	1	0
137	1.0	0	1	0
138	1.0	0	1	0
139	1.0	0	1	0
140	0.0	1	1	0
141	1.0	0	1	0
142	1.0	0	1	0
143	0.8333333333333334	0	0	0
144	1.0	0	1	0
145	0.16666666666666666	0	0	0
146	1.0	0	1	0
147	1.0	0	1	0
148	0.5714285714285714	0	0	0
149	0.46153846153846156	0	0	0
