dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
spinach,classification,gpt-4.1-2025-04-14,0.4124,0.5155,0.9485,0.7113,0.8763,0.7204,0.8272,0.7598,0.7187,0.0103,0.0515,0.0515,0.1443
spinach,classification,gpt-4.1-mini-2025-04-14,0.3867,0.4467,0.9667,0.72,0.8867,0.5929,0.6855,0.5664,0.5971,0.1,0.1067,0.14,0.2867
spinach,classification,gpt-4.1-nano-2025-04-14,0.8267,0.6667,0.84,0.8867,0.9867,0.0589,0.0617,0.0,0.0087,0.9,0.82,0.74,0.8733
spinach,fixing,gpt-4.1-2025-04-14,0.6133,0.6333,0.9467,0.7067,0.94,0.8176,0.8535,0.8417,0.8455,0.04,0.0333,0.0733,0.1133
spinach,fixing,gpt-4.1-mini-2025-04-14,0.5067,0.52,0.8867,0.7333,0.8467,0.7439,0.8074,0.7916,0.7759,0.0133,0.02,0.04,0.1267
spinach,fixing,gpt-4.1-nano-2025-04-14,0.24,0.3333,0.6467,0.5667,0.5667,0.3337,0.4644,0.5406,0.3253,0.1733,0.1667,0.14,0.1867
spinach,fixing,gpt-4o,0.5842,0.5644,0.9109,0.7129,0.8911,0.4864,0.5482,0.4952,0.4782,0.2871,0.3861,0.297,0.3861
spinach,fixing,o3,0.1967,0.3443,0.9508,0.3934,0.8689,0.5327,0.7311,0.5594,0.5181,0.0492,0.0492,0.0328,0.0656
spinach,wikidata,gpt-4.1-2025-04-14,0.5,0.2133,0.5667,0.44,0.6467,0.798,0.62,0.0,0.0,0.0,0.0,0.04,0.0933
spinach,wikidata,gpt-4.1-mini-2025-04-14,0.44,0.1533,0.4867,0.4267,0.4867,0.7297,0.567,0.0,0.0,0.0,0.0,0.0067,0.0467
spinach,wikidata,gpt-4.1-nano-2025-04-14,0.3333,0.16,0.5733,0.52,0.5467,0.6103,0.4769,0.0,0.0,0.0267,0.0467,0.06,0.1333
spinach,wikidata,gpt-4o,0.8533,0.78,0.9267,0.98,0.9867,0.1175,0.0622,0.0,0.0,0.8067,0.8,0.88,0.9267
spinach,wikidata,o3,0.4497,0.3221,0.5839,0.5772,0.9463,0.6681,0.607,0.0,0.0,0.1007,0.094,0.0604,0.1409
spinach,zero-shot,gpt-4.1-2025-04-14,0.4733,0.2133,0.5467,0.4667,0.66,0.7438,0.5839,0.0,0.0,0.0067,0.0133,0.04,0.1067
spinach,zero-shot,gpt-4.1-mini-2025-04-14,0.5067,0.1867,0.5067,0.44,0.52,0.7116,0.5521,0.0,0.0,0.0133,0.0267,0.0133,0.0467
spinach,zero-shot,gpt-4.1-nano-2025-04-14,0.3467,0.16,0.6067,0.5133,0.6467,0.6025,0.4385,0.0,0.0,0.04,0.0333,0.1067,0.14
spinach,zero-shot,gpt-4o,0.5733,0.2933,0.6533,0.7533,0.8933,0.5382,0.4023,0.0,0.0,0.2667,0.2467,0.3067,0.4933
spinach,zero-shot,o3,0.4595,0.3716,0.6554,0.5878,0.9189,0.6805,0.6286,0.0,0.0,0.0878,0.1149,0.0946,0.1216
