QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.0	0	0	0
1	1.0	0	1	0
2	0.5	0	0	0
3	0.8421052631578947	0	0	0
4	1.0	0	1	0
5	0.4444444444444444	0	0	0
6	1.0	0	1	0
7	0.5	0	0	0
8	1.0	0	1	0
9	0.0	0	0	0
10	1.0	0	1	0
11	0.0	0	0	0
12	1.0	0	1	0
13	0.0	1	1	0
14	0.0	0	0	0
15	0.0	1	1	0
16	1.0	0	1	0
17	1.0	0	1	0
18	0.75	0	0	0
19	1.0	0	1	0
20	0.0	0	0	0
21	1.0	0	1	0
22	0.8	0	0	0
23	1.0	0	1	0
24	1.0	0	1	0
25	0.8	0	0	0
26	1.0	0	1	0
27	0.8387096774193549	0	0	0
28	1.0	0	1	0
29	0.6875	0	0	0
30	0.3333333333333333	0	0	0
31	0.21568627450980393	0	0	0
32	0.4	0	0	0
33	0.8780487804878049	0	0	0
34	1.0	0	1	0
35	1.0	0	1	0
36	0.5	0	0	0
37	0.0	0	0	0
38	0.6	0	0	0
39	1.0	0	1	0
40	0.9545454545454546	0	0	0
41	0.0	0	0	0
42	1.0	0	1	0
43	0.42857142857142855	0	0	0
44	0.15384615384615385	0	0	0
45	0.7142857142857143	0	0	0
46	0.5	0	0	0
47	0.0	0	0	0
48	1.0	0	1	0
49	0.0	1	1	0
50	1.0	0	1	0
51	0.9090909090909091	0	0	0
52	1.0	0	1	0
53	1.0	0	1	0
54	0.23076923076923078	0	0	0
55	1.0	0	1	0
56	0.0	1	1	0
57	0.3333333333333333	0	0	0
58	1.0	0	1	0
59	1.0	0	1	0
60	1.0	0	1	0
61	0.75	0	0	0
62	0.0	0	0	0
63	0.6666666666666666	0	0	0
64	1.0	0	1	0
65	0.7142857142857143	0	0	0
66	1.0	0	1	0
67	0.3333333333333333	0	0	0
68	0.0	1	1	0
69	1.0	0	1	0
70	1.0	0	1	0
71	0.6666666666666666	0	0	0
72	0.8	0	0	0
73	1.0	0	1	0
74	0.8181818181818182	0	0	0
75	1.0	0	1	0
76	1.0	0	1	0
77	1.0	0	1	0
78	0.16666666666666666	0	0	0
79	1.0	0	1	0
80	0.0	1	1	0
81	0.0	1	1	0
82	1.0	0	1	0
83	0.8	0	0	0
84	1.0	0	1	0
85	0.4666666666666667	0	0	0
86	0.0	1	1	0
87	0.0	1	1	0
88	0.6	0	0	0
89	1.0	0	1	0
90	1.0	0	1	0
91	0.6666666666666666	0	0	0
92	1.0	0	1	0
93	0.5217391304347826	0	0	0
94	0.38461538461538464	0	0	0
95	1.0	0	1	0
96	1.0	0	1	0
97	0.0	0	0	0
98	1.0	0	1	0
99	1.0	0	1	0
100	0.3333333333333333	0	0	0
101	0.0	1	1	0
102	0.7857142857142857	0	0	0
103	0.16666666666666666	0	0	0
104	0.3333333333333333	0	0	0
105	1.0	0	1	0
106	1.0	0	1	0
107	0.25	0	0	0
108	0.24	0	0	0
109	1.0	0	1	0
110	0.6666666666666666	0	0	0
111	0.48717948717948717	0	0	0
112	1.0	0	1	0
113	1.0	0	1	0
114	0.0	0	0	0
115	0.5	0	0	0
116	0.9285714285714286	0	0	0
117	1.0	0	1	0
118	0.8333333333333334	0	0	0
119	0.0	1	1	0
120	0.0	0	0	0
121	1.0	0	1	0
122	0.3333333333333333	0	0	0
123	0.0	1	1	0
124	0.8	0	0	0
125	0.0	1	1	0
126	1.0	0	1	0
127	1.0	0	1	0
128	1.0	0	1	0
129	0.0	0	0	0
130	0.0	0	0	0
131	0.6666666666666666	0	0	0
132	1.0	0	1	0
133	1.0	0	1	0
134	1.0	0	1	0
135	1.0	0	1	0
136	0.0	1	1	0
137	1.0	0	1	0
138	1.0	0	1	0
139	1.0	0	1	0
140	1.0	0	1	0
141	0.36	0	0	0
142	1.0	0	1	0
143	0.6666666666666666	0	0	0
144	0.96	0	0	0
145	0.5	0	0	0
146	0.7043478260869566	0	0	0
147	1.0	0	1	0
148	0.5	0	0	0
149	0.46153846153846156	0	0	0
