usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans	Q3Ans
no_usparql_13	Which television shows were created by John Cleese?	What television programs did John Cleese create?	Which television shows were created by John Cleese and first aired before the year 2000?	Which television shows were created by John Cleese and first aired on or after the year 2000?		['Fawlty Towers', 'Hold the Sunset']	"[""Monty Python's Flying Circus"", 'Fawlty Towers']"			['Fawlty Towers']
no_usparql_17	Give me all current communist countries.	What countries have a communist government?	Give me all communist countries in Asia.	Give me all communist countries outside of Asia.		"[""People's Republic of China"", 'Republic of Cuba', ""Lao People's Democratic Republic"", 'Socialist Republic of Vietnam', ""Democratic People's Republic of Korea""]"	"[""People's Republic of China"", 'Republic of Cuba', ""Lao People's Democratic Republic"", 'Socialist Republic of Vietnam', ""Democratic People's Republic of Korea""]"		['Cuba']	"[""People's Republic of China"", 'Socialist Republic of Vietnam', ""Lao People's Democratic Republic"", ""Democratic People's Republic of Korea""]"
no_usparql_26	Which politicians were married to a German person?	Which politicians had a spouse who was German?	Which politicians were married to a German woman?	Which politicians were married to a German man or non-binary person?			['John Kerry', 'Arnold Schwarzenegger', 'Dwight D. Eisenhower']			['Boris Johnson', 'John Kerry', 'Gerhard Schröder', 'Arnold Schwarzenegger']
no_usparql_29	Give me all soccer clubs in Spain that play in La Liga.	Can you list every soccer club located in Spain that play in La Liga?	Please tell me all the Spanish football clubs that play in La Liga and have won the Champions League.	Please tell me all the Spanish football clubs that play in La Liga and never won the Champions League.		['Real Madrid Club de Fútbol', 'Fútbol Club Barcelona', 'Club Atlético de Madrid', 'Real Sociedad de Fútbol', 'Athletic Club', 'Sevilla Fútbol Club', 'Real Betis Balompié', 'Villarreal Club de Fútbol', 'Valencia Club de Fútbol', 'Getafe Club de Fútbol', 'Deportivo Alavés', 'Unión Deportiva Las Palmas', 'Girona Fútbol Club', 'Rayo Vallecano de Madrid', 'Club Atlético Osasuna', 'Cádiz Club de Fútbol', 'Granada Club de Fútbol', 'Deportivo Alavés', 'Real Club Celta de Vigo', 'Deportivo Alavés', 'Deportivo Alavés']	['Deportivo Alavés', 'Almería Club de Fútbol', 'Athletic Club', 'Club Atlético de Madrid', 'Fútbol Club Barcelona', 'Cádiz Club de Fútbol', 'Real Club Celta de Vigo', 'Getafe Club de Fútbol', 'Girona Fútbol Club', 'Granada Club de Fútbol', 'Unión Deportiva Las Palmas', 'Club Atlético Osasuna', 'Real Club Betis Balompié', 'Real Madrid Club de Fútbol', 'Real Sociedad de Fútbol', 'Sevilla Fútbol Club', 'Valencia Club de Fútbol', 'Villarreal Club de Fútbol', 'Rayo Vallecano de Madrid', 'Deportivo Alavés']		['Girona Football Club', 'Real Sociedad de Fútbol', 'Athletic Club', 'Club Atlético Osasuna', 'Getafe Club de Fútbol', 'Deportivo Alavés', 'Unión Deportiva Las Palmas', 'Real Club Deportivo Mallorca', 'Cádiz Club de Fútbol', 'Granada Club de Fútbol', 'Real Betis Balompié', 'Villarreal Club de Fútbol', 'Deportivo Alavés', 'Valencia Club de Fútbol']	['Real Madrid Club de Fútbol', 'Fútbol Club Barcelona']
no_usparql_32	Which telecommunications organizations are located in Belgium?	Which telecommunications organizations are based in Belgium?	Which telecommunications organizations are located in Belgium and headquartered in Brussels?	Which telecommunications organizations are located in Belgium but not headquartered in Brussels?		['Proximus Group', 'Orange Belgium', 'Telenet Group', 'VOO', 'Scarlet', 'BASE']	['Proximus Group', 'Telenet Group', 'Orange Belgium', 'VOO', 'Scarlet', 'BASE']		['Telenet Group Holding', 'Proximus Group']	['Proximus Group', 'Belgacom International Carrier Services', 'Brussels Intercommunal Transport Company']
no_usparql_40	Which actors were born in Germany?	What actors have a German birthplace?	Which actors were born in Germany and are currently living there?	Which actors were born in Germany but are currently living outside of Germany?		['Diane Kruger', 'Michael Fassbender', 'Marlene Dietrich', 'Til Schweiger', 'Daniel Brühl', 'Christoph Waltz', 'Franka Potente', 'Thomas Kretschmann', 'August Diehl', 'Jürgen Prochnow']	['Diane Kruger', 'Michael Fassbender', 'Daniel Brühl', 'Til Schweiger', 'Franka Potente', 'August Diehl', 'Nastassja Kinski', 'Thomas Kretschmann', 'Armin Mueller-Stahl', 'Jürgen Prochnow']			
no_usparql_170	In which countries are the Himalayas located?	Which countries do the Himalayas span?	In which countries with a population of less than one million are the Himalayas located?	In which countries with a population of at least one million are the Himalayas located?		['India', 'Nepal', 'Bhutan', 'China', 'Pakistan']	['India', 'Nepal', 'Bhutan', 'China', 'Pakistan']		['India', 'China', 'Nepal', 'Pakistan']	['Bhutan']
no_usparql_207	On what video streaming services can I watch the Hunter x Hunter anime series?	Which platforms stream the Hunter x Hunter anime series?	On which video streaming services can I watch the Hunter x Hunter anime series with a subscription?	On which video streaming services can I watch the Hunter x Hunter anime series without subscription?		['Netflix', 'Hulu', 'Crunchyroll']	['Netflix', 'Crunchyroll', 'Hulu', 'Amazon Prime Video']		['Crunchyroll', 'Tubi']	['Netflix', 'Hulu', 'Crunchyroll']
no_usparql_214	Through which countries does the Danube flow?	Which countries does the Danube flow through?	Through which countries that use Central Europe Time does the Danube flow?	Through which countries that do not use Central Europe Time does the Danube flow?		['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria', 'Moldova', 'Ukraine']	['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria', 'Moldova', 'Ukraine']		['Ukraine', 'Moldova']	['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia']
no_usparql_230	What are the professions of John Lennon’s sons?	In which professions are John Lennon’s sons involved?	What are the musical professions of John Lennon’s sons?	What are the non-musical professions of John Lennon’s sons?		['musician', 'singer-songwriter', 'photographer', 'producer']	['musician', 'singer-songwriter', 'actor', 'photographer', 'producer']		['photographer', 'filmmaker', 'author']	['musician', 'singer-songwriter', 'composer', 'multi-instrumentalist', 'record producer']
no_usparql_231	What movies are in the Star Wars series?	What are the movies in the Star Wars series?	What are the Star Wars series movies released before 2000?	What are the Star Wars series movies released on or after 2000?		['Star Wars Episode I The Phantom Menace', 'Star Wars Episode II Attack of the Clones', 'Star Wars Episode III Revenge of the Sith', 'Star Wars Episode IV A New Hope', 'Star Wars Episode V The Empire Strikes Back', 'Star Wars Episode VI Return of the Jedi', 'Star Wars Episode VII The Force Awakens', 'Star Wars Episode VIII The Last Jedi', 'Star Wars Episode IX The Rise of Skywalker', 'Rogue One A Star Wars Story', 'Solo A Star Wars Story']	['Star Wars Episode I The Phantom Menace', 'Star Wars Episode II Attack of the Clones', 'Star Wars Episode III Revenge of the Sith', 'Star Wars Episode IV A New Hope', 'Star Wars Episode V The Empire Strikes Back', 'Star Wars Episode VI Return of the Jedi', 'Star Wars Episode VII The Force Awakens', 'Star Wars Episode VIII The Last Jedi', 'Star Wars Episode IX The Rise of Skywalker', 'Rogue One A Star Wars Story', 'Solo A Star Wars Story']		['Star Wars Episode II Attack of the Clones', 'Star Wars Episode III Revenge of the Sith', 'Star Wars Episode VII The Force Awakens', 'Star Wars Episode VIII The Last Jedi', 'Star Wars Episode IX The Rise of Skywalker']	['Star Wars Episode Four A New Hope', 'Star Wars Episode Five The Empire Strikes Back', 'Star Wars Episode Six Return of the Jedi', 'Star Wars Episode One The Phantom Menace']
no_usparql_237	What instruments did Louis Armstrong play?	Which instruments were played by Louis Armstrong?	What brass instruments did Louis Armstrong play?	What non-brass instruments did Louis Armstrong play?		['trumpet', 'cornet', 'vocals']	['trumpet', 'cornet', 'vocals']		['voice', 'piano', 'drums']	['trumpet', 'cornet']
no_usparql_263	What notes make up a C major chord?	Which notes comprise a C major chord?	What root notes are in a C major chord?	What non-root notes make up a C major chord?		['C', 'E', 'G']	['C', 'E', 'G']		['E', 'G']	['C']
no_usparql_269	Who created the OA?	The OA is created by whom?	Which creator of The OA also played a cast role in it?	Which creator of The OA did not play a cast role in it?		['Brit Marling', 'Zal Batmanglij']	['Brit Marling', 'Zal Batmanglij']		['Zal Batmanglij']	['Brit Marling']
no_usparql_270	What albums has Atif Aslam appeared in?	Which albums feature Atif Aslam?	What solo albums has Atif Aslam released?	What non-solo albums has Atif Aslam contributed to?		['Jal Pari', 'Doorie', 'Meri Kahani']	['Jal Pari', 'Doorie', 'Meri Kahani']		['Meri Kahani', 'Doorie', 'Jal Pari', 'Jal: Aadat']	['Jal Pari', 'Doorie', 'Meri Kahani']
no_usparql_328	Which American presidents had fathers who were also American presidents?	Which U.S. presidents had fathers who were also U.S. presidents?	Which American presidents had fathers who were also American presidents for the same party?	Which American presidents had fathers who were also American presidents but for a different party?		['John Quincy Adams', 'George Walker Bush']	['John Quincy Adams', 'George Walker Bush']			['John Quincy Adams', 'George Walker Bush']
