QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.08713692946058091	0	0	0
2	0.5	0	0	0
3	1.0	0	1	0
4	0.07473841554559044	0	0	0
5	1.0	0	1	0
6	0.37142857142857144	0	0	0
7	0.75	0	0	0
8	1.0	0	1	0
9	0.6875	0	0	0
10	0.0	0	0	0
11	1.0	0	1	0
12	1.0	0	1	0
13	0.9494949494949495	0	0	0
14	0.9565217391304348	0	0	0
15	0.475	0	0	0
16	0.0	0	0	0
17	0.6666666666666666	0	0	0
18	1.0	0	1	0
19	0.8421052631578947	0	0	0
20	1.0	0	1	0
21	1.0	0	1	0
22	1.0	0	1	0
23	0.33	0	0	0
24	1.0	0	1	0
25	0.8666666666666667	0	0	0
26	0.9411764705882353	0	0	0
27	0.0	0	0	0
28	1.0	0	1	0
29	1.0	0	1	0
30	0.0625	0	0	0
31	0.0	0	0	0
32	1.0	0	1	0
33	0.0	0	0	0
34	1.0	0	1	0
35	0.7777777777777778	0	0	0
36	1.0	0	1	0
37	1.0	0	1	0
38	1.0	0	1	0
39	0.75	0	0	0
40	0.8461538461538461	0	0	0
41	0.3333333333333333	0	0	0
42	1.0	0	1	0
43	0.5692307692307692	0	0	0
44	0.0	0	0	0
45	0.0	0	0	0
46	1.0	0	1	0
47	0.0	0	0	0
48	1.0	0	1	0
49	1.0	0	1	0
50	0.0	0	0	0
51	1.0	0	1	0
52	1.0	0	1	0
53	0.2034383954154728	0	0	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.5	0	0	0
57	0.75	0	0	0
58	1.0	0	1	0
59	0.9722222222222222	0	0	0
60	1.0	0	1	0
61	1.0	0	1	0
62	0.9318181818181818	0	0	0
63	1.0	0	1	0
64	0.0	0	0	0
65	1.0	0	1	0
66	0.08403361344537816	0	0	0
67	0.9444444444444444	0	0	0
68	0.6	0	0	0
69	1.0	0	1	0
70	1.0	0	1	0
71	0.09523809523809523	0	0	0
72	1.0	0	1	0
73	0.14285714285714285	0	0	0
74	1.0	0	1	0
75	1.0	0	1	0
76	0.6666666666666666	0	0	0
77	0.6875	0	0	0
78	1.0	0	1	0
79	1.0	0	1	0
80	0.9090909090909091	0	0	0
81	0.9230769230769231	0	0	0
82	1.0	0	1	0
83	1.0	0	1	0
84	0.12056737588652482	0	0	0
85	0.5487179487179488	0	0	0
86	1.0	0	1	0
87	0.23507462686567165	0	0	0
88	0.0	1	1	0
89	1.0	0	1	0
90	0.11956521739130435	0	0	0
91	1.0	0	1	0
92	0.7741935483870968	0	0	0
93	1.0	0	1	0
94	0.7777777777777778	0	0	0
95	1.0	0	1	0
96	0.3333333333333333	0	0	0
97	0.18571428571428572	0	0	0
98	1.0	0	1	0
99	1.0	0	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	1.0	0	1	0
103	1.0	0	1	0
104	0.4	0	0	0
105	0.06132075471698113	0	0	0
106	1.0	0	1	0
107	0.1732283464566929	0	0	0
108	0.0	0	0	0
109	0.3684210526315789	0	0	0
110	1.0	0	1	0
111	1.0	0	1	0
112	1.0	0	1	0
113	0.0	0	0	0
114	0.7272727272727273	0	0	0
115	1.0	0	1	0
116	0.9107142857142857	0	0	0
117	0.3	0	0	0
118	1.0	0	1	0
119	1.0	0	1	0
120	0.46153846153846156	0	0	0
121	0.0	0	0	0
122	0.0	0	0	0
123	1.0	0	1	0
124	1.0	0	1	0
125	0.0	0	0	0
126	1.0	0	1	0
127	0.625	0	0	0
128	0.9744897959183674	0	0	0
129	1.0	0	1	0
130	0.0	0	0	0
131	0.8947368421052632	0	0	0
132	0.0	0	0	0
133	1.0	0	1	0
134	1.0	0	1	0
135	1.0	0	1	0
136	0.75	0	0	0
137	1.0	0	1	0
138	0.0	0	0	0
139	1.0	0	1	0
140	1.0	0	1	0
141	1.0	0	1	0
142	0.0	0	0	0
143	0.7272727272727273	0	0	0
144	0.3157894736842105	0	0	0
145	0.4050632911392405	0	0	0
146	0.0	0	0	0
147	0.3333333333333333	0	0	0
148	0.5454545454545454	0	0	0
149	0.0	0	0	0
