QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	1.0	0	1	0
2	1.0	0	1	0
3	1.0	0	1	0
4	1.0	0	1	0
5	1.0	0	1	0
6	0.7105263157894737	0	0	0
7	0.6	0	0	0
8	1.0	0	1	0
9	0.8333333333333334	0	0	0
10	0.0	0	0	0
11	0.8333333333333334	0	0	0
12	0.8333333333333334	0	0	0
13	0.05714285714285714	0	0	0
14	0.2222222222222222	0	0	0
15	0.5	0	0	0
16	1.0	0	1	0
17	1.0	0	1	0
18	1.0	0	1	0
19	0.05555555555555555	0	0	0
20	1.0	0	1	0
21	0.5	0	0	0
22	1.0	0	1	0
23	0.6363636363636364	0	0	0
24	1.0	0	1	0
25	1.0	0	1	0
26	0.42857142857142855	0	0	0
27	0.0	1	1	0
28	1.0	0	1	0
29	1.0	0	1	0
30	1.0	0	1	0
31	0.25	0	0	0
32	1.0	0	1	0
33	0.6923076923076923	0	0	0
34	1.0	0	1	0
35	0.8648648648648649	0	0	0
36	1.0	0	1	0
37	0.0	0	0	0
38	0.8181818181818182	0	0	0
39	1.0	0	1	0
40	0.2857142857142857	0	0	0
41	0.0	0	0	0
42	1.0	0	1	0
43	0.01639344262295082	0	0	0
44	0.8333333333333334	0	0	0
45	0.8	0	0	0
46	0.0	0	0	0
47	0.0	0	0	0
48	1.0	0	1	0
49	1.0	0	1	0
50	1.0	0	1	0
51	0.0	0	0	0
52	0.8333333333333334	0	0	0
53	0.0	0	0	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.3333333333333333	0	0	0
57	1.0	0	1	0
58	0.8	0	0	0
59	0.625	0	0	0
60	0.0	0	0	0
61	1.0	0	1	0
62	0.9333333333333333	0	0	0
63	0.8	0	0	0
64	0.75	0	0	0
65	1.0	0	1	0
66	1.0	0	1	0
67	1.0	0	1	0
68	0.09090909090909091	0	0	0
69	1.0	0	1	0
70	1.0	0	1	0
71	1.0	0	1	0
72	1.0	0	1	0
73	0.5	0	0	0
74	1.0	0	1	0
75	1.0	0	1	0
76	1.0	0	1	0
77	0.8	0	0	0
78	1.0	0	1	0
79	0.6363636363636364	0	0	0
80	0.0	0	0	0
81	0.07692307692307693	0	0	0
82	1.0	0	1	0
83	0.0	0	0	0
84	0.125	0	0	0
85	0.8333333333333334	0	0	0
86	1.0	0	1	0
87	0.6730769230769231	0	0	0
88	0.0	1	1	0
89	0.08333333333333333	0	0	0
90	0.4166666666666667	0	0	0
91	1.0	0	1	0
92	0.9333333333333333	0	0	0
93	0.3333333333333333	0	0	0
94	1.0	0	1	0
95	1.0	0	1	0
96	1.0	0	1	0
97	0.3333333333333333	0	0	0
98	1.0	0	1	0
99	0.0	1	1	0
100	0.875	0	0	0
101	1.0	0	1	0
102	1.0	0	1	0
103	0.0	1	1	0
104	0.0	0	0	0
105	0.13636363636363635	0	0	0
106	1.0	0	1	0
107	0.125	0	0	0
108	0.0	0	0	0
109	1.0	0	1	0
110	1.0	0	1	0
111	0.625	0	0	0
112	0.26666666666666666	0	0	0
113	0.0	0	0	0
114	0.375	0	0	0
115	1.0	0	1	0
116	0.9574468085106383	0	0	0
117	0.6666666666666666	0	0	0
118	0.8888888888888888	0	0	0
119	1.0	0	1	0
120	1.0	0	1	0
121	1.0	0	1	0
122	0.5	0	0	0
123	1.0	0	1	0
124	1.0	0	1	0
125	0.8333333333333334	0	0	0
126	1.0	0	1	0
127	0.0	1	1	0
128	0.03208556149732621	0	0	0
129	1.0	0	1	0
130	0.9090909090909091	0	0	0
131	0.26229508196721313	0	0	0
132	1.0	0	1	0
133	0.05263157894736842	0	0	0
134	1.0	0	1	0
135	0.0	0	0	0
136	0.16666666666666666	0	0	0
137	0.5	0	0	0
138	1.0	0	1	0
139	1.0	0	1	0
140	1.0	0	1	0
141	1.0	0	1	0
142	0.6666666666666666	0	0	0
143	1.0	0	1	0
144	0.14285714285714285	0	0	0
145	0.36	0	0	0
146	1.0	0	1	0
147	1.0	0	1	0
148	0.8333333333333334	0	0	0
149	1.0	0	1	0
