QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	0.6666666666666666	0	1	1
2	0.0	0	0	0
3	0.75	0	1	1
4	0.011363636363636364	0	0	1
5	0.6	0	0	1
6	0.6944444444444444	0	0	0
7	0.5833333333333334	0	0	0
8	1.0	0	1	1
9	1.0	0	1	1
10	0.9047619047619048	0	0	0
11	1.0	0	1	0
12	0.2894736842105263	0	0	1
13	0.8	0	1	0
14	0.0	1	1	1
15	0.0975609756097561	0	0	1
16	0.0	0	0	1
17	0.38461538461538464	0	1	1
18	0.05555555555555555	0	0	1
19	0.6666666666666666	0	1	0
20	0.9803921568627451	0	1	1
21	0.9285714285714286	0	1	1
22	0.75	0	0	1
23	0.5	0	1	1
24	0.28	0	0	1
25	0.3728813559322034	0	0	1
26	0.2727272727272727	0	1	0
27	0.8571428571428571	0	1	1
28	0.45	0	1	0
29	0.0	0	0	1
30	0.6	0	0	1
31	1.0	0	1	1
32	0.75	0	1	1
33	0.4090909090909091	0	0	0
34	1.0	0	1	0
35	0.8	0	1	1
36	0.2	0	0	1
37	0.45454545454545453	0	0	1
38	0.15789473684210525	0	0	1
39	0.1	0	0	1
40	0.30303030303030304	0	0	0
41	0.0	0	0	1
42	0.04980842911877394	0	0	1
43	0.03508771929824561	0	0	1
44	0.5714285714285714	0	1	1
45	0.38461538461538464	0	1	1
46	0.45714285714285713	0	0	1
47	0.7272727272727273	0	0	0
48	0.0	0	0	1
49	0.5	0	0	1
50	0.25	0	0	0
51	0.0	0	0	1
52	0.48484848484848486	0	1	1
53	0.4	0	1	0
54	0.8333333333333334	0	0	0
55	0.13725490196078433	0	0	1
56	0.09655172413793103	0	0	1
57	0.0	0	0	1
58	0.2619047619047619	0	0	1
59	1.0	0	1	0
60	0.5	0	1	0
61	0.09090909090909091	0	0	1
62	0.0	0	1	1
63	0.16363636363636364	0	0	0
64	0.1864406779661017	0	0	1
65	0.25	0	0	0
66	0.14285714285714285	0	0	1
67	0.3783783783783784	0	0	1
68	0.391304347826087	0	1	1
69	0.26229508196721313	0	0	1
70	0.9523809523809523	0	0	0
71	0.88	0	1	1
72	0.9166666666666666	0	1	1
73	0.4444444444444444	0	0	1
74	0.9047619047619048	0	0	1
75	0.6666666666666666	0	1	0
76	0.20481927710843373	0	0	0
77	0.375	0	1	0
78	0.7761194029850746	0	1	1
79	0.5652173913043478	0	1	1
80	0.9744897959183674	0	1	0
81	0.9310344827586207	0	1	1
82	1.0	0	1	1
83	1.0	0	1	1
84	1.0	0	1	1
85	0.8	0	0	1
86	0.8918918918918919	0	1	1
87	0.21428571428571427	0	1	1
88	0.0	0	0	1
89	0.0	0	1	1
90	0.04827586206896552	0	0	1
91	0.6	0	1	1
92	0.1	0	1	1
93	0.3333333333333333	0	0	0
94	0.8571428571428571	0	1	0
95	0.2857142857142857	0	0	0
96	0.23529411764705882	0	0	1
97	0.0	0	0	1
98	0.38095238095238093	0	0	0
99	0.3924050632911392	0	0	1
100	0.6363636363636364	0	0	0
101	0.0	0	0	0
102	0.7857142857142857	0	0	0
103	0.6	0	1	1
104	0.7254901960784313	0	0	0
105	0.09433962264150944	0	0	1
106	0.22	0	0	0
107	0.32222222222222224	0	0	0
108	0.08917197452229299	0	1	0
109	0.3333333333333333	0	0	0
110	0.4791666666666667	0	0	1
111	0.0	0	1	1
112	0.08695652173913043	0	1	0
113	0.325	0	1	0
114	0.38235294117647056	0	0	0
115	0.0	0	0	1
116	1.0	0	1	1
117	0.9	0	0	1
118	0.7777777777777778	0	0	1
119	0.21739130434782608	0	0	1
120	0.0	0	0	1
121	0.5555555555555556	0	0	1
122	0.35	0	0	1
123	0.2857142857142857	0	0	0
124	0.0	0	0	1
125	0.136986301369863	0	0	1
126	0.6	0	1	0
127	0.0	0	0	1
128	0.3617021276595745	0	0	1
129	0.0	0	0	0
130	0.3	0	0	1
131	0.6	0	0	0
132	0.4473684210526316	0	0	0
133	0.4166666666666667	0	0	0
134	0.05660377358490566	0	0	1
135	0.0	0	0	1
136	0.39473684210526316	0	0	0
137	0.2066115702479339	0	0	1
138	0.3	0	0	0
139	0.12903225806451613	0	0	1
140	0.0	1	1	1
141	0.43243243243243246	0	0	1
142	0.5	0	1	0
143	0.0	0	0	1
144	0.0	0	0	1
145	0.2	0	1	1
146	0.18181818181818182	0	0	1
147	0.8666666666666667	0	1	0
148	1.0	0	1	0
149	0.8571428571428571	0	1	1
