QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.0	0	0	0
1	0.0	0	0	0
2	0.0	0	0	0
3	0.4	0	0	0
4	0.0	0	0	0
5	0.5	0	0	0
6	0.0	0	0	0
7	0.0	0	0	0
8	1.0	0	1	0
9	0.8	0	0	0
10	0.0	0	0	0
11	0.875	0	0	0
12	0.06846846846846846	0	0	0
13	0.0	0	0	0
14	1.0	0	1	0
15	0.37037037037037035	0	0	0
16	0.13157894736842105	0	0	0
17	1.0	0	1	0
18	0.08695652173913043	0	0	0
19	1.0	0	1	0
20	0.84	0	0	0
21	0.7142857142857143	0	0	0
22	0.5	0	0	0
23	0.09090909090909091	0	0	0
24	0.0	0	0	0
25	0.0	0	0	0
26	0.0	0	0	0
27	0.5	0	0	0
28	0.0	0	0	0
29	0.0	0	0	0
30	0.18181818181818182	0	0	0
31	0.2	0	0	0
32	0.5	0	0	0
33	0.2727272727272727	0	0	0
34	0.0	0	0	0
35	0.6	0	0	0
36	0.0	0	0	0
37	0.0	0	0	0
38	0.029612756264236904	0	0	0
39	0.0	0	0	0
40	0.2222222222222222	0	0	0
41	0.0	0	0	0
42	0.0	0	0	0
43	0.0	0	0	0
44	0.7142857142857143	0	0	0
45	0.0	1	1	0
46	0.6666666666666666	0	0	0
47	0.0	0	0	0
48	0.0	0	0	0
49	0.4	0	0	0
50	0.0	0	0	0
51	0.0	0	0	0
52	0.5517241379310345	0	0	0
53	0.5	0	0	0
54	0.0	0	0	0
55	0.0	0	0	0
56	0.0	0	0	0
57	0.0	0	0	0
58	0.0	0	0	0
59	0.07142857142857142	0	0	0
60	0.0	0	0	0
61	0.0	0	0	0
62	0.0	0	0	0
63	0.06578947368421052	0	0	0
64	0.10714285714285714	0	0	0
65	0.045454545454545456	0	0	0
66	0.4	0	0	0
67	0.004739336492890996	0	0	0
68	0.028735632183908046	0	0	0
69	0.12735849056603774	0	0	0
70	0.17647058823529413	0	0	0
71	0.4	0	0	0
72	1.0	0	1	0
73	0.0	0	0	0
74	1.0	0	1	0
75	0.0	0	0	0
76	0.0	0	0	0
77	0.0	0	0	0
78	0.4864864864864865	0	0	0
79	0.5185185185185185	0	0	0
80	0.8795180722891566	0	0	0
81	0.325	0	0	0
82	0.6	0	0	0
83	1.0	0	1	0
84	0.2	0	0	0
85	0.34782608695652173	0	0	0
86	0.0	0	0	0
87	0.0	0	0	0
88	0.4444444444444444	0	0	0
89	0.0	0	0	0
90	0.0	0	0	0
91	0.45454545454545453	0	0	0
92	0.0	0	0	0
93	0.0	0	0	0
94	1.0	0	1	0
95	0.0392156862745098	0	0	0
96	0.0	0	0	0
97	1.0	0	1	0
98	0.0	0	0	0
99	0.16470588235294117	0	0	0
100	0.1301775147928994	0	0	0
101	0.0	0	0	0
102	0.024390243902439025	0	0	0
103	0.3333333333333333	0	0	0
104	0.4444444444444444	0	0	0
105	0.0	1	1	0
106	0.11764705882352941	0	0	0
107	0.0	0	0	0
108	0.0028169014084507044	0	0	0
109	0.0	0	0	0
110	0.5555555555555556	0	0	0
111	0.0	0	0	0
112	0.0	0	0	0
113	0.0	0	0	0
114	0.0	0	0	0
115	0.5	0	0	0
116	0.6666666666666666	0	0	0
117	0.75	0	0	0
118	0.0	0	0	0
119	0.0	0	0	0
120	0.0	0	0	0
121	0.2	0	0	0
122	0.0	0	0	0
123	0.0	0	0	0
124	0.0	0	0	0
125	0.0	0	0	0
126	0.0	0	0	0
127	0.0	0	0	0
128	0.0	0	0	0
129	0.0	0	0	0
130	0.021645021645021644	0	0	0
131	0.003194888178913738	0	0	0
132	0.0	0	0	0
133	0.0	0	0	0
134	0.2948717948717949	0	0	0
135	0.0	0	0	0
136	0.0	0	0	0
137	0.002544529262086514	0	0	0
138	0.0	0	0	0
139	0.19696969696969696	0	0	0
140	0.0	0	0	0
141	0.0	0	0	0
142	0.5	0	0	0
143	1.0	0	1	0
144	1.0	0	1	0
145	0.0	0	0	0
146	0.0625	0	0	0
147	0.75	0	0	0
148	0.0	0	0	0
149	0.625	0	0	0
