Q_ID,action,dataset,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),Q1,Q2,Q3,Q4,A1,A2,A3,A4,A1*,A1**,A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
0,classification,spinach,gpt-4.1-2025-04-14,0,0,1,0,1,0.3333,0.8333,0.3636,0.3333,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,"['Whoops Apocalypse', 'Seven Deadly Sins', 'The Human Face', 'Fawlty Towers', 'This Is David Lander']","['Fawlty Towers', 'The Human Face', 'Seven Deadly Sins (1970 television series)']","['Whoops Apocalypse', 'Seven Deadly Sins', 'The Human Face', 'Fawlty Towers', 'This Is David Lander']","[""The Secret Policeman's Ball 2006""]","[""The Secret Policeman's Other Ball"", 'Whoops Apocalypse', 'Seven Deadly Sins', ""The Secret Policeman's Biggest Ball"", 'The Human Face', ""The Secret Policeman's Third Ball"", ""The Secret Policeman's Fourth Ball"", 'Fawlty Towers', ""The Secret Policeman's Ball"", ""The Secret Policeman's Ball 2006""]","['Fawlty Towers', 'The Human Face', 'Seven Deadly Sins (1970 television series)']",0,0,0,0
0,classification,spinach,gpt-4.1-mini-2025-04-14,1,0,1,0,1,1.0,0.6667,0.5,1.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,"['The Frost Report', 'A Fish Called Wanda (television pilot)', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers']","['The Frost Report', 'A Fish Called Wanda (television pilot)', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers']","[""Monty Python's Flying Circus"", 'Fawlty Towers', 'Ripping Yarns', 'The Frost Report']",['A Fish Called Wanda (television adaptation)'],"['The Frost Report', ""John Cleese's Sketchbook"", ""Monty Python's Flying Circus"", 'Ripping Yarns', 'The World of Wooster', 'Fawlty Towers', 'A Fish Called Wanda (television adaptation)']","['The Frost Report', 'A Fish Called Wanda (television pilot)', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers']",0,0,0,0
0,classification,spinach,gpt-4.1-nano-2025-04-14,1,1,1,1,1,0.0,0.0,0.0,0.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,[],[],[],[],[],[],1,1,1,1
0,fixing,spinach,gpt-4.1-2025-04-14,0,1,1,1,1,0.6667,1.0,1.0,0.6667,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,"[""Monty Python's Flying Circus"", 'Fawlty Towers', 'Hold the Sunset']","[""Monty Python's Flying Circus"", 'Fawlty Towers']","[""Monty Python's Flying Circus"", 'Fawlty Towers']",['Hold the Sunset'],"[""Monty Python's Flying Circus"", 'Fawlty Towers', 'Hold the Sunset']","[""Monty Python's Flying Circus"", 'Fawlty Towers']",0,0,0,0
0,fixing,spinach,gpt-4.1-mini-2025-04-14,0,0,1,0,1,0.6667,0.6667,0.6667,0.6667,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,"['The Frost Report', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers', 'A Fish Called Wanda (television adaptation)']","['The Frost Report', 'A Fish Called Wanda (television pilot)', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers']","[""Monty Python's Flying Circus"", 'Fawlty Towers', 'Ripping Yarns', 'The Frost Report']",['A Fish Called Wanda (television pilot)'],"['The Frost Report', 'A Fish Called Wanda (television pilot)', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers']","['The Frost Report', 'A Fish Called Wanda (television pilot)', ""Monty Python's Flying Circus"", 'Ripping Yarns', 'Fawlty Towers']",0,0,0,0
0,fixing,spinach,gpt-4.1-nano-2025-04-14,1,0,0,0,0,0.0,0.0,0.0,0.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,[],[],"[""Monty Python's Flying Circus""]","[""Monty Python's Flying Circus""]",[],[],1,1,0,0
0,fixing,spinach,gpt-4o,0,0,1,0,1,0.0,0.5,0.0,0.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,"['""Fawlty Towers""', '""Doctor at Large""']","['Seven of One', 'Fawlty Towers']","['""Fawlty Towers""', '""Doctor at Large""']","['Fawlty Towers', 'The Human Face']","['Fawlty Towers', 'The Human Face']","['Seven of One', 'Fawlty Towers']",0,0,0,0
0,wikidata,spinach,gpt-4.1-2025-04-14,1,1,1,1,1,1.0,1.0,0.0,0.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,['Fawlty Towers'],['Fawlty Towers'],['Fawlty Towers'],[],[],[],0,0,0,1
0,wikidata,spinach,gpt-4.1-mini-2025-04-14,0,0,0,0,1,0.8,0.375,0.0,0.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,"[""Monty Python's Flying Circus"", 'A Fish Called Wanda', 'Fawlty Towers', 'The Frost Report']","['The Frost Report', ""Monty Python's Flying Circus"", 'A Fish Called Wanda', 'Ripping Yarns', 'Fawlty Towers']","[""Monty Python's Flying Circus"", 'Fawlty Towers', 'Ripping Yarns', 'The Frost Report']","['John Cleese: The Art of Comedy', 'Fawlty Towers (revival episodes)', 'The Human Face']",[],[],0,0,0,0
0,wikidata,spinach,gpt-4.1-nano-2025-04-14,0,1,1,1,1,0.0,1.0,0.0,0.0,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired on or after the year 2000?,['Fawlty Towers'],"[""Monty Python's Flying Circus""]",['Fawlty Towers'],[],[],[],0,0,0,1
