QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	0.0	0	0	1
2	0.45454545454545453	0	0	0
3	0.75	0	1	0
4	0.0	0	0	0
5	0.8571428571428571	0	1	0
6	0.0	0	0	1
7	0.0	0	0	1
8	0.8888888888888888	0	1	1
9	0.8333333333333334	0	1	1
10	0.53125	0	0	1
11	0.9032258064516129	0	0	1
12	0.8095238095238095	0	0	1
13	0.8048780487804879	0	0	0
14	0.0	0	0	0
15	0.3333333333333333	0	0	0
16	0.4375	0	0	0
17	0.6428571428571429	0	1	1
18	0.8333333333333334	0	1	0
19	1.0	0	1	0
20	0.6666666666666666	0	0	1
21	0.20689655172413793	0	1	0
22	0.8461538461538461	0	1	1
23	0.8666666666666667	0	0	0
24	0.08333333333333333	0	1	1
25	0.9230769230769231	0	1	0
26	0.8181818181818182	0	0	0
27	0.25	0	1	1
28	0.0	0	1	1
29	0.0	0	0	1
30	0.058823529411764705	0	1	1
31	0.3	0	0	0
32	1.0	0	1	1
33	0.0	0	0	0
34	1.0	0	1	0
35	0.5444444444444444	0	0	0
36	0.8571428571428571	0	1	0
37	0.5714285714285714	0	0	1
38	0.8333333333333334	0	1	1
39	1.0	0	1	0
40	1.0	0	1	0
41	0.2857142857142857	0	0	1
42	1.0	0	1	1
43	0.0	0	0	0
44	0.9583333333333334	0	1	0
45	1.0	0	1	1
46	1.0	0	1	1
47	1.0	0	1	0
48	0.7142857142857143	0	1	1
49	1.0	0	1	1
50	0.15	0	1	0
51	0.94	0	1	1
52	0.6	0	0	1
53	0.0	0	0	1
54	1.0	0	1	1
55	1.0	0	1	0
56	1.0	0	1	0
57	0.0	0	0	0
58	0.0	0	0	1
59	0.8421052631578947	0	0	1
60	1.0	0	1	0
61	1.0	0	1	1
62	0.0	0	0	0
63	1.0	0	1	0
64	0.9090909090909091	0	0	1
65	0.0	0	0	1
66	1.0	0	1	0
67	0.7894736842105263	0	1	1
68	0.08695652173913043	0	1	1
69	0.0	0	0	1
70	1.0	0	1	0
71	0.3125	0	0	1
72	0.8	0	1	0
73	0.0	0	0	0
74	0.6	0	1	1
75	0.8666666666666667	0	1	0
76	0.7272727272727273	0	1	0
77	0.9	0	1	1
78	1.0	0	1	1
79	0.25	0	0	1
80	0.4222222222222222	0	0	0
81	0.4205607476635514	0	1	0
82	0.6296296296296297	0	1	1
83	0.6666666666666666	0	0	1
84	0.0	0	0	0
85	0.11764705882352941	0	0	1
86	0.6666666666666666	0	1	1
87	0.7368421052631579	0	0	0
88	0.0	0	0	1
89	0.0	0	0	1
90	1.0	0	1	1
91	1.0	0	1	0
92	0.5454545454545454	0	0	0
93	0.3333333333333333	0	1	1
94	0.0	0	1	1
95	0.8181818181818182	0	1	0
96	1.0	0	1	0
97	0.0	0	0	0
98	1.0	0	1	1
99	0.6666666666666666	0	0	0
100	0.75	0	0	1
101	1.0	0	1	1
102	0.2894736842105263	0	0	1
103	0.3333333333333333	0	0	0
104	0.4	0	0	0
105	0.0	0	0	1
106	1.0	0	1	0
107	0.4827586206896552	0	0	0
108	0.0	0	0	1
109	0.15789473684210525	0	0	1
110	1.0	0	1	0
111	1.0	0	1	0
112	0.75	0	0	1
113	1.0	0	1	0
114	0.75	0	1	1
115	0.5	0	1	0
116	0.16666666666666666	0	0	0
117	0.5	0	0	0
118	1.0	0	1	0
119	1.0	0	1	0
120	1.0	0	1	0
121	1.0	0	1	0
122	0.9285714285714286	0	1	0
123	1.0	0	1	0
124	0.0	0	0	1
125	0.4375	0	0	1
126	1.0	0	1	0
127	0.3333333333333333	0	0	0
128	1.0	0	1	1
129	0.0	0	0	1
130	0.0	0	1	1
131	0.591304347826087	0	1	1
132	0.3333333333333333	0	1	0
133	0.102803738317757	0	1	1
134	0.75	0	1	0
135	0.8	0	0	0
136	0.7777777777777778	0	1	0
137	0.6	0	0	1
138	0.7222222222222222	0	0	0
139	1.0	0	1	1
140	1.0	0	1	0
141	0.0	0	0	1
142	0.0	0	1	1
143	0.375	0	1	0
144	0.13333333333333333	0	0	1
145	0.0	0	0	1
146	0.0	0	0	0
147	0.8571428571428571	0	1	0
148	0.6666666666666666	0	1	0
149	0.0	0	0	1
