,?A1=A1*,J(A1-A1*),?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,ave_?A,J(A1-A2),J(A3-A4),J(A4-A1|3),idk
llama3.1:8b,0.0288888888888888,0.1890013333333333,0.14,0.1778,0.14,0.6156,0.0244,0.21956000000000003,0.475,0.1101,0.2542,0.00165
gpt-oss:20b,0.2986111111111111,0.6175527777777778,0.6621,0.8163,0.9041,0.9932,0.7007,0.8152800000000001,0.8444,0.0009,0.8684,0.058325
gpt-4.1-nano-2025-04-14,0.3351063829787234,0.5597148936170213,0.5485,0.5658,0.5925,0.5864,0.1959,0.49782000000000004,0.6741,0.2377,0.3576,0.177225
mistral-small:24b,0.4806201550387597,0.7511808785529716,0.7157,0.7435,0.8941,0.9508,0.4779,0.7564,0.8278,0.0205,0.71,0.1361
llama3.1:70b,0.2259507829977628,0.495169351230425,0.6138,0.7366,0.8237,0.9485,0.5402,0.7325600000000001,0.7495,0.0212,0.7738,0.047775
gemini-2.0-flash,0.7828054298642534,0.8939771493212669,0.7929,0.8552,0.9212,0.9688,0.7439,0.8564,0.8296,0.0114,0.8383,0.02945
gpt-4.1-mini-2025-04-14,0.5116279069767442,0.7976127906976743,0.7963,0.8802,0.9745,0.9169,0.712,0.85598,0.9136,0.0355,0.8202,0.077775
gpt-4o,0.4285714285714285,0.690758695652174,0.8201,0.912,0.9381,0.9412,0.745,0.8712799999999999,0.9096,0.0393,0.7847,0.29775
gpt-4.1-2025-04-14,0.5902777777777778,0.8601949074074073,0.8449,0.919,0.9469,0.9745,0.7737,0.8917999999999999,0.9427,0.013,0.8633,0.063325
grok-3-mini,0.4057971014492754,0.6667041062801932,0.8705,0.9218,0.9857,0.9857,0.8259,0.91792,0.9395,0.0094,0.8416,0.123325
deepseek-chat,0.4560570071258907,0.7054776722090261,0.8329,0.8913,0.9574,0.9597,0.75,0.87826,0.9323,0.0241,0.8443,0.098325
gemini-2.5-flash,0.6997578692493946,0.8365435835351089,0.8744,0.8879,0.9644,0.9884,0.8796,0.9189400000000001,0.9196,0.0096,0.8686,0.083875
gpt-5-nano,0.463768115942029,0.6946840579710145,0.7591,0.7872,0.9635,0.9632,0.6588,0.82636,0.8499,0.0278,0.7977,0.3722499999999999
deepseek-reasoner,0.1782407407407407,0.4504467592592593,0.6575,0.7149,0.8439,0.9312,0.5461,0.73872,0.8147,0.0501,0.7895,0.057775
gemini-2.5-pro,0.4769230769230769,0.6580507692307692,0.7365,0.7714,0.9097,0.9797,0.7236,0.8241800000000001,0.8162,0.0189,0.7934,0.125
gpt-5-mini,0.4763948497854077,0.6947030042918455,0.7588,0.8697,0.9213,0.9519,0.7224,0.8448200000000001,0.8422,0.0446,0.8276,0.467775
o3,0.3465608465608465,0.6499941798941798,0.7224,0.9093,0.9273,0.9855,0.788,0.8665,0.9096,0.0112,0.8492,0.1389
gpt-5,0.5348837209302325,0.7763358803986711,0.8675,0.9373,0.9807,0.9781,0.8519,0.9231,0.9557,0.0219,0.9013,0.34
