QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.0	0	0
1	0.0	1	1
2	0.0	1	1
3	0.0	1	1
4	0.0	0	0
5	0.0	0	0
6	0.0	0	0
7	0.0	0	0
8	0.0	0	0
9	1.0	0	1
10	1.0	0	1
11	1.0	0	1
12	0.0	0	0
13	0.5	0	0
14	0.0	0	0
15	1.0	0	1
16	1.0	0	1
17	1.0	0	1
18	1.0	0	1
19	0.5	0	0
20	0.0	0	0
21	0.14285714285714285	0	0
22	0.0	0	0
23	0.0	0	0
24	0.5	0	0
25	0.5	0	0
26	0.0	1	1
27	0.0	0	0
28	0.0	0	0
29	0.0	0	0
30	0.0	1	1
31	0.0	1	1
32	0.0	1	1
33	0.0	1	1
34	0.0	1	1
35	0.0	1	1
36	1.0	0	1
37	1.0	0	1
38	0.0	0	0
39	1.0	0	1
40	0.0	1	1
41	0.0	1	1
42	0.0	0	0
43	0.0	0	0
44	0.0	1	1
45	0.0	1	1
46	0.0	1	1
47	0.0	1	1
48	0.0	1	1
49	0.0	1	1
50	0.0	0	0
51	0.0	0	0
52	0.0	1	1
53	0.0	1	1
54	0.0	1	1
55	0.0	0	0
56	0.0	0	0
57	0.0	1	1
58	0.0	1	1
59	0.0	1	1
60	0.0	0	0
61	0.0	1	1
62	0.0	1	1
63	0.0	1	1
64	0.0	0	0
65	0.0	0	0
66	0.0	0	0
67	0.0	1	1
68	0.0	0	0
69	0.0	1	1
70	0.0	1	1
71	0.0	1	1
72	0.0	0	0
73	0.5	0	0
74	0.0	0	0
75	1.0	0	1
76	1.0	0	1
77	1.0	0	1
78	0.0	1	1
79	0.0	1	1
80	0.0	1	1
81	1.0	0	1
82	1.0	0	1
83	1.0	0	1
84	1.0	0	1
85	0.0	0	0
86	1.0	0	1
87	0.0	1	1
88	0.875	0	0
89	0.0	1	1
90	0.0	1	1
91	0.0	1	1
92	0.5	0	0
93	0.0	0	0
94	0.0	1	1
95	0.0	1	1
96	0.0	0	0
97	0.0	1	1
98	0.2	0	0
99	0.7714285714285715	0	0
100	0.2222222222222222	0	0
101	0.0	1	1
102	0.0	1	1
103	1.0	0	1
104	1.0	0	1
105	0.0	1	1
106	0.0	1	1
107	0.0	1	1
108	0.0	1	1
109	0.0	1	1
110	0.0	0	0
111	0.25	0	0
112	0.8571428571428571	0	0
113	0.8571428571428571	0	0
114	0.0	1	1
115	0.0	1	1
116	0.0	0	0
117	0.0	0	0
118	1.0	0	1
119	1.0	0	1
120	0.0	0	0
121	0.0	0	0
122	1.0	0	1
123	1.0	0	1
124	0.0	0	0
125	0.0	0	0
126	0.0	0	0
127	0.0	0	0
128	0.0	0	0
129	0.0	0	0
130	1.0	0	1
131	1.0	0	1
132	0.9629629629629629	0	0
